      Src,     Type,    N,     Mean, Median,      Std, #Outliers
 measure1,     orig,   32, 1184.202, 1170.0,  105.045,         7
 measure1,     orig,   64, 1193.854, 1184.0,   76.656,         5
 measure1,     orig,   96, 1275.709, 1276.5,   81.177,         6
 measure1,     orig,  128, 1308.163, 1298.0,    85.82,        12
 measure1,     orig,  160, 1289.007, 1283.0,   88.317,         9
 measure1,     orig,  192, 1402.334, 1393.5,   93.334,        14
 measure1,     orig,  224, 1406.149, 1394.0,  101.534,        14
 measure1,     orig,  256,  1375.16, 1364.0,   94.541,         4
 measure1,     orig,  288,  1638.82, 1554.0,  353.618,        17
 measure1,     orig,  320, 1632.032, 1616.0,  127.235,        16
 measure1,     orig,  352,  1614.15, 1602.0,  123.572,        20
 measure1,     orig,  384, 1594.383, 1586.0,  122.568,        12
 measure1,     orig,  416, 1562.263, 1545.0,  116.838,        12
 measure1,     orig,  448, 1728.129, 1713.0,  145.432,        14
 measure1,     orig,  480, 2020.435, 2019.5,  197.476,         6
 measure1,     orig,  512, 1964.423, 1936.5,  180.997,        12
 measure1,     orig,  544,  1853.48, 1830.0,  138.249,        16
 measure1,     orig,  576, 2226.403, 2209.0,  185.431,        12
 measure1,     orig,  608, 1962.545, 1951.0,  161.066,        19
 measure1,     orig,  640, 2036.676, 2009.0,  155.547,        18
 measure1,     orig,  672, 2328.098, 2296.5,  199.331,        18
 measure1,     orig,  704, 2410.531, 2389.5,   230.07,        12
 measure1,     orig,  736, 2344.584, 2322.0,   157.72,        20
 measure1,     orig,  768, 2645.328, 2623.0,  257.658,        19
 measure1,     orig,  800,  2254.07, 2223.0,  202.734,        13
 measure1,     orig,  832, 2538.518, 2497.5,  221.951,        20
 measure1,     orig,  864, 2828.692, 2802.0,  272.594,        16
 measure1,     orig,  896, 2540.647, 2524.0,  193.406,        16
 measure1,     orig,  928,  2703.53, 2675.0,  234.566,        21
 measure1,     orig,  960,  2894.37, 2871.0,  244.643,        22
 measure1,     orig,  992, 2917.879, 2840.5,  445.067,         8
 measure1,     orig, 1024, 2726.458, 2704.0,  203.417,        27
 measure1, orig-opt,   32, 1156.805, 1147.0,   78.988,        13
 measure1, orig-opt,   64, 1165.012, 1162.0,   75.845,         9
 measure1, orig-opt,   96, 1204.747, 1202.0,   89.672,         6
 measure1, orig-opt,  128, 1171.092, 1163.0,   87.601,        10
 measure1, orig-opt,  160, 1192.623, 1183.0,   87.184,         5
 measure1, orig-opt,  192,  1170.91, 1165.0,   91.985,        10
 measure1, orig-opt,  224, 1217.026, 1184.0,  172.086,        21
 measure1, orig-opt,  256, 1164.162, 1162.0,   78.691,         7
 measure1, orig-opt,  288, 1156.905, 1151.0,   82.834,        15
 measure1, orig-opt,  320, 1149.587, 1143.5,   81.599,         8
 measure1, orig-opt,  352, 1163.708, 1158.0,   82.403,        11
 measure1, orig-opt,  384,  1147.19, 1151.0,   70.529,        12
 measure1, orig-opt,  416, 1176.966, 1170.5,   92.842,         4
 measure1, orig-opt,  448, 1136.113, 1130.0,   72.751,         9
 measure1, orig-opt,  480, 1166.889, 1167.0,   77.829,         7
 measure1, orig-opt,  512, 1158.208, 1159.0,   72.243,         6
 measure1, orig-opt,  544, 1173.446, 1174.0,   79.815,        13
 measure1, orig-opt,  576, 1198.355, 1198.0,   88.152,         9
 measure1, orig-opt,  608, 1176.484, 1178.0,   79.288,        15
 measure1, orig-opt,  640, 1173.057, 1170.5,   85.118,         6
 measure1, orig-opt,  672, 1186.434, 1186.5,   83.956,         6
 measure1, orig-opt,  704, 1199.253, 1191.0,    91.44,         2
 measure1, orig-opt,  736, 1177.357, 1175.0,   77.378,        12
 measure1, orig-opt,  768, 1211.874, 1210.0,   89.034,         7
 measure1, orig-opt,  800, 1185.205, 1183.0,   82.527,        10
 measure1, orig-opt,  832, 1172.777, 1173.5,   85.782,        10
 measure1, orig-opt,  864, 1171.162, 1170.0,   86.476,         7
 measure1, orig-opt,  896, 1186.199, 1183.5,   84.812,        12
 measure1, orig-opt,  928, 1166.757, 1171.0,   79.197,        12
 measure1, orig-opt,  960, 1189.305, 1185.0,   83.635,         1
 measure1, orig-opt,  992, 1197.586, 1191.0,   82.057,        12
 measure1, orig-opt, 1024, 1207.253, 1205.0,   79.409,        12
 measure1,      lif,   32, 1340.436, 1335.0,   89.655,         9
 measure1,      lif,   64,   1483.6, 1477.0,  100.316,        10
 measure1,      lif,   96,  1747.15, 1736.0,  119.606,        16
 measure1,      lif,  128, 2379.496, 2364.0,  169.533,        19
 measure1,      lif,  160, 2492.814, 2468.0,  243.253,        16
 measure1,      lif,  192, 2472.444, 2441.0,  198.207,        23
 measure1,      lif,  224, 2884.329, 2853.0,  283.916,        17
 measure1,      lif,  256, 3194.617, 3174.5,  206.848,        24
 measure1,      lif,  288, 3450.179, 3413.0,  292.355,        19
 measure1,      lif,  320, 3622.097, 3603.0,   243.19,        23
 measure1,      lif,  352, 3885.459, 3857.0,  322.054,        28
 measure1,      lif,  384, 3861.345, 3809.0,  355.476,        29
 measure1,      lif,  416, 4118.814, 4069.0,  351.801,        27
 measure1,      lif,  448, 4479.573, 4410.0,  390.122,        26
 measure1,      lif,  480, 4623.185, 4566.0,   366.02,        27
 measure1,      lif,  512, 4481.998, 4435.0,  336.226,        27
 measure1,      lif,  544, 4937.642, 4862.5,  550.076,        12
 measure1,      lif,  576, 5694.724, 5657.0,  411.381,        28
 measure1,      lif,  608,   5426.3, 5370.5,  412.442,        28
 measure1,      lif,  640, 5919.042, 5872.5,  439.678,        26
 measure1,      lif,  672, 5815.554, 5707.0,  562.394,        23
 measure1,      lif,  704, 5515.761, 5455.0,  415.829,        29
 measure1,      lif,  736, 7005.761, 6964.0,  562.798,        19
 measure1,      lif,  768, 6347.954, 6281.5,  580.742,        32
 measure1,      lif,  800, 7137.908, 7021.0,  584.467,        25
 measure1,      lif,  832, 7031.575, 6798.0, 1082.758,         6
 measure1,      lif,  864, 8227.359, 8001.0,  988.728,         5
 measure1,      lif,  896, 7321.334, 7170.0,  804.485,        12
 measure1,      lif,  928, 7849.218, 7712.0,  724.371,        21
 measure1,      lif,  960, 8781.169, 8551.0, 1116.067,        10
 measure1,      lif,  992, 8451.011, 8238.0, 1073.677,         7
 measure1,      lif, 1024, 7827.913, 7634.5,   754.03,        28
 measure1,  lif-opt,   32, 1185.323, 1184.0,   88.206,        12
 measure1,  lif-opt,   64, 1180.328, 1180.5,   84.391,         8
 measure1,  lif-opt,   96, 1162.495, 1164.5,   76.563,        10
 measure1,  lif-opt,  128, 1157.259, 1157.0,   79.711,         6
 measure1,  lif-opt,  160, 1157.187, 1154.0,    86.67,         6
 measure1,  lif-opt,  192, 1168.671, 1162.0,   84.451,         6
 measure1,  lif-opt,  224, 1174.378, 1175.0,   84.372,        10
 measure1,  lif-opt,  256, 1187.579, 1179.0,    94.81,        10
 measure1,  lif-opt,  288,  1184.07, 1181.0,   87.381,        11
 measure1,  lif-opt,  320,   1180.7, 1172.5,   94.917,         6
 measure1,  lif-opt,  352, 1153.702, 1149.0,   74.937,        13
 measure1,  lif-opt,  384, 1141.548, 1131.0,   82.405,        12
 measure1,  lif-opt,  416, 1175.407, 1166.5,   90.002,         4
 measure1,  lif-opt,  448, 1185.626, 1174.0,   92.481,         8
 measure1,  lif-opt,  480, 1162.074, 1150.0,   91.745,        10
 measure1,  lif-opt,  512, 1200.568, 1191.5,   86.835,        10
 measure1,  lif-opt,  544, 1166.254, 1157.5,   89.975,        10
 measure1,  lif-opt,  576,  1167.72, 1155.0,   88.702,        10
 measure1,  lif-opt,  608, 1165.987, 1153.0,    88.72,        13
 measure1,  lif-opt,  640, 1186.929, 1176.0,   81.336,        11
 measure1,  lif-opt,  672, 1163.196, 1152.0,   86.651,        12
 measure1,  lif-opt,  704, 1175.141, 1162.0,   98.665,         3
 measure1,  lif-opt,  736, 1159.203, 1143.5,   88.982,         2
 measure1,  lif-opt,  768, 1161.555, 1152.5,   92.842,        10
 measure1,  lif-opt,  800, 1181.007, 1167.0,   94.526,         3
 measure1,  lif-opt,  832, 1156.525, 1150.0,   79.422,        10
 measure1,  lif-opt,  864,  1177.14, 1171.0,   89.669,         6
 measure1,  lif-opt,  896, 1159.735, 1146.0,   93.369,         3
 measure1,  lif-opt,  928, 1154.397, 1151.0,   77.863,        11
 measure1,  lif-opt,  960,  1145.09, 1136.0,   81.315,         5
 measure1,  lif-opt,  992, 1136.306, 1125.0,   83.395,         5
 measure1,  lif-opt, 1024, 1161.098, 1152.0,   87.406,         6
 measure1,     meng,   32, 1170.271, 1157.0,   88.913,         7
 measure1,     meng,   64, 1206.883, 1200.0,   96.976,         4
 measure1,     meng,   96,  1149.11, 1137.0,   82.216,        11
 measure1,     meng,  128, 1185.156, 1177.0,   89.079,         7
 measure1,     meng,  160, 1184.051, 1177.0,   91.006,         4
 measure1,     meng,  192, 1202.754, 1194.0,   99.895,         7
 measure1,     meng,  224, 1204.766, 1197.0,    85.79,        11
 measure1,     meng,  256, 1228.432, 1182.0,  206.888,        17
 measure1,     meng,  288, 1191.931, 1186.0,   88.848,        11
 measure1,     meng,  320, 1152.209, 1141.0,   84.962,         8
 measure1,     meng,  352, 1238.981, 1225.0,  111.337,         9
 measure1,     meng,  384, 1148.191, 1138.0,    79.34,        10
 measure1,     meng,  416, 1147.042, 1139.0,   76.997,         7
 measure1,     meng,  448, 1147.474, 1138.0,   80.672,         4
 measure1,     meng,  480, 1179.784, 1172.0,   95.815,         7
 measure1,     meng,  512, 1138.381, 1120.0,   84.471,         7
 measure1,     meng,  544, 1173.722, 1164.0,   87.139,         3
 measure1,     meng,  576, 1208.521, 1203.0,    82.47,        11
 measure1,     meng,  608, 1195.702, 1187.0,   89.601,         5
 measure1,     meng,  640, 1224.687, 1213.0,   93.746,         9
 measure1,     meng,  672, 1196.645, 1187.0,   89.848,         2
 measure1,     meng,  704, 1180.694, 1173.5,   80.771,        14
 measure1,     meng,  736, 1177.123, 1168.0,   90.006,         4
 measure1,     meng,  768, 1188.077, 1174.0,   89.867,         3
 measure1,     meng,  800, 1170.035, 1160.5,   82.248,        12
 measure1,     meng,  832, 1170.229, 1161.5,   77.813,         8
 measure1,     meng,  864, 1161.901, 1156.0,   75.741,         9
 measure1,     meng,  896, 1172.008, 1162.5,   83.827,         2
 measure1,     meng,  928, 1190.302, 1182.0,   78.036,         9
 measure1,     meng,  960, 1173.711, 1164.0,    78.06,        13
 measure1,     meng,  992, 1175.921, 1174.0,   79.238,         5
 measure1,     meng, 1024, 1173.699, 1165.0,   88.273,         3
 measure1, meng-opt,   32, 1161.961, 1151.0,   87.811,         5
 measure1, meng-opt,   64, 1219.508, 1221.0,    86.51,         4
 measure1, meng-opt,   96, 1178.608, 1174.0,   84.029,        12
 measure1, meng-opt,  128, 1186.307, 1175.0,  102.201,         5
 measure1, meng-opt,  160, 1184.134, 1178.0,   89.132,         9
 measure1, meng-opt,  192, 1213.077, 1206.0,   90.856,         6
 measure1, meng-opt,  224, 1179.887, 1170.0,   95.346,         2
 measure1, meng-opt,  256, 1232.046, 1231.0,   87.273,         9
 measure1, meng-opt,  288, 1249.826, 1213.5,  189.937,        14
 measure1, meng-opt,  320,  1188.11, 1180.0,   87.459,        11
 measure1, meng-opt,  352, 1191.356, 1187.0,   80.336,        13
 measure1, meng-opt,  384, 1189.917, 1182.0,   90.001,         3
 measure1, meng-opt,  416, 1200.985, 1187.0,  110.623,        18
 measure1, meng-opt,  448, 1174.189, 1166.0,   90.798,        20
 measure1, meng-opt,  480, 1185.979, 1173.0,   94.558,         3
 measure1, meng-opt,  512, 1173.891, 1172.0,   78.858,         8
 measure1, meng-opt,  544, 1195.848, 1186.0,   87.878,         1
 measure1, meng-opt,  576,  1150.38, 1147.5,   80.493,        10
 measure1, meng-opt,  608, 1170.685, 1169.5,   88.348,         8
 measure1, meng-opt,  640, 1156.129, 1152.0,   79.746,         9
 measure1, meng-opt,  672, 1175.128, 1165.0,   96.435,         4
 measure1, meng-opt,  704, 1199.627, 1198.0,   83.197,         9
 measure1, meng-opt,  736, 1214.415, 1210.0,     87.1,         9
 measure1, meng-opt,  768, 1207.838, 1205.0,   85.591,         2
 measure1, meng-opt,  800, 1173.498, 1165.0,   85.348,         7
 measure1, meng-opt,  832, 1180.423, 1175.0,   88.092,         7
 measure1, meng-opt,  864, 1183.626, 1171.0,   95.186,         5
 measure1, meng-opt,  896, 1183.755, 1177.0,   87.118,         2
 measure1, meng-opt,  928, 1168.971, 1161.0,   75.068,        10
 measure1, meng-opt,  960, 1184.833, 1177.0,   85.469,         5
 measure1, meng-opt,  992, 1251.807, 1194.0,  309.454,         5
 measure1, meng-opt, 1024, 1180.209, 1172.5,   90.617,        24
 measure2,     orig,   32, 1197.762, 1196.0,   89.779,         7
 measure2,     orig,   64, 1200.601, 1197.0,   79.124,         7
 measure2,     orig,   96, 1197.379, 1190.0,   84.428,         6
 measure2,     orig,  128, 1183.754, 1172.5,   97.365,         4
 measure2,     orig,  160, 1188.801, 1179.0,   96.906,         7
 measure2,     orig,  192, 1213.613, 1213.0,   94.823,         7
 measure2,     orig,  224, 1191.506, 1190.5,   77.277,        14
 measure2,     orig,  256, 1186.567, 1185.0,   78.155,         7
 measure2,     orig,  288, 1214.021, 1209.0,   87.356,         7
 measure2,     orig,  320, 1222.739, 1218.0,   94.937,         2
 measure2,     orig,  352, 1175.662, 1172.0,   85.007,        12
 measure2,     orig,  384,  1169.59, 1166.0,   79.423,        13
 measure2,     orig,  416,  1224.27, 1212.0,   90.388,         4
 measure2,     orig,  448, 1195.411, 1188.0,   87.311,         6
 measure2,     orig,  480, 1218.722, 1209.0,   92.456,        12
 measure2,     orig,  512, 1180.085, 1173.5,   87.358,         4
 measure2,     orig,  544, 1178.644, 1169.0,   89.987,         6
 measure2,     orig,  576, 1178.725, 1168.0,   92.957,         6
 measure2,     orig,  608,  1164.17, 1153.0,   76.967,         9
 measure2,     orig,  640, 1202.637, 1198.0,   83.044,        11
 measure2,     orig,  672, 1244.757, 1215.5,  164.551,        24
 measure2,     orig,  704, 1203.607, 1199.0,   89.038,         9
 measure2,     orig,  736, 1195.878, 1190.0,   81.637,         8
 measure2,     orig,  768, 1179.822, 1173.0,   77.947,        11
 measure2,     orig,  800, 1255.162, 1221.0,  184.444,        22
 measure2,     orig,  832, 1224.118, 1204.0,  136.763,        10
 measure2,     orig,  864, 1203.564, 1194.0,    93.66,         8
 measure2,     orig,  896, 1180.767, 1173.0,   83.017,         8
 measure2,     orig,  928, 1191.594, 1181.0,    86.92,         4
 measure2,     orig,  960, 1209.999, 1202.0,   97.178,         7
 measure2,     orig,  992, 1192.496, 1184.0,   80.406,        12
 measure2,     orig, 1024,  1177.28, 1169.0,    87.07,         8
 measure2, orig-opt,   32, 1175.576, 1165.0,   98.496,        11
 measure2, orig-opt,   64,  1200.02, 1193.0,   93.261,         5
 measure2, orig-opt,   96, 1210.181, 1206.0,   85.697,         6
 measure2, orig-opt,  128, 1163.263, 1156.0,   85.583,         5
 measure2, orig-opt,  160, 1186.587, 1174.0,    95.66,         3
 measure2, orig-opt,  192, 1225.642, 1218.0,  103.291,         4
 measure2, orig-opt,  224, 1203.716, 1199.0,   91.646,         3
 measure2, orig-opt,  256, 1253.428, 1218.0,  204.118,        19
 measure2, orig-opt,  288,  1186.76, 1179.0,   99.657,         3
 measure2, orig-opt,  320, 1183.228, 1177.0,   85.166,         5
 measure2, orig-opt,  352, 1190.012, 1178.0,   90.692,         3
 measure2, orig-opt,  384, 1173.967, 1162.5,   88.163,         4
 measure2, orig-opt,  416, 1178.704, 1174.0,   93.313,         8
 measure2, orig-opt,  448,   1163.2, 1159.0,   84.946,         7
 measure2, orig-opt,  480, 1170.349, 1165.0,   85.465,        11
 measure2, orig-opt,  512, 1154.615, 1146.5,   75.634,        12
 measure2, orig-opt,  544, 1174.586, 1167.0,   88.992,         3
 measure2, orig-opt,  576, 1168.521, 1165.0,   86.975,         4
 measure2, orig-opt,  608, 1172.787, 1163.0,   88.309,         2
 measure2, orig-opt,  640, 1151.988, 1143.0,   83.929,         6
 measure2, orig-opt,  672, 1200.295, 1196.0,   92.044,         9
 measure2, orig-opt,  704, 1162.083, 1158.0,   74.922,        13
 measure2, orig-opt,  736, 1192.745, 1181.5,   96.739,         4
 measure2, orig-opt,  768, 1159.612, 1155.0,    79.24,         9
 measure2, orig-opt,  800, 1172.822, 1163.0,   87.768,        12
 measure2, orig-opt,  832, 1156.893, 1148.0,   84.914,         2
 measure2, orig-opt,  864, 1198.752, 1193.0,   87.478,        10
 measure2, orig-opt,  896, 1197.616, 1194.0,   86.986,         7
 measure2, orig-opt,  928, 1190.402, 1183.0,   97.191,        12
 measure2, orig-opt,  960, 1236.884, 1200.0,   185.89,        18
 measure2, orig-opt,  992,  1184.84, 1173.5,   90.091,        12
 measure2, orig-opt, 1024, 1184.795, 1173.0,   96.081,         9
 measure2,      lif,   32,  1350.24, 1340.0,  100.758,         4
 measure2,      lif,   64, 1637.651, 1609.0,  169.272,        11
 measure2,      lif,   96, 1810.915, 1788.0,  156.875,         9
 measure2,      lif,  128, 2220.554, 2215.0,  216.306,        15
 measure2,      lif,  160, 2361.137, 2338.0,  179.514,        31
 measure2,      lif,  192,  2724.84, 2695.0,  273.233,        13
 measure2,      lif,  224, 2809.118, 2776.0,  235.867,        26
 measure2,      lif,  256, 3087.539, 3048.0,  260.816,        19
 measure2,      lif,  288, 3215.558, 3191.0,  255.492,        29
 measure2,      lif,  320, 3645.871, 3621.0,   281.13,        25
 measure2,      lif,  352, 3444.177, 3392.0,  328.843,        20
 measure2,      lif,  384, 4259.273, 4238.0,  326.825,        26
 measure2,      lif,  416, 3911.687, 3831.0,   446.71,         3
 measure2,      lif,  448, 4489.324, 4445.0,  370.334,        28
 measure2,      lif,  480, 4736.509, 4697.0,  392.361,        21
 measure2,      lif,  512, 5053.737, 5007.0,  459.638,        29
 measure2,      lif,  544, 5173.973, 5137.0,  451.971,        28
 measure2,      lif,  576, 5647.491, 5594.0,  501.542,        34
 measure2,      lif,  608, 5128.996, 5066.0,    374.7,        27
 measure2,      lif,  640, 5755.534, 5715.0,  463.884,        27
 measure2,      lif,  672, 5807.216, 5767.0,  458.309,        28
 measure2,      lif,  704, 6162.998, 6104.0,  496.826,        33
 measure2,      lif,  736, 5793.429, 5740.5,  428.013,        32
 measure2,      lif,  768, 6107.591, 6076.0,  440.787,        28
 measure2,      lif,  800, 6361.436, 6263.0,  553.031,        29
 measure2,      lif,  832, 7491.923, 7399.0,  614.887,        33
 measure2,      lif,  864, 7421.792, 7326.0,  722.701,        27
 measure2,      lif,  896, 8208.495, 8060.0,  941.689,        12
 measure2,      lif,  928, 8050.215, 7831.0,    897.4,        18
 measure2,      lif,  960, 7654.389, 7518.0,   707.08,        26
 measure2,      lif,  992, 8138.248, 7963.0,  911.459,         7
 measure2,      lif, 1024, 8655.134, 8485.0,  712.649,        25
 measure2,  lif-opt,   32,  1193.82, 1184.5,   94.041,        10
 measure2,  lif-opt,   64,  1141.89, 1135.0,   74.339,        14
 measure2,  lif-opt,   96, 1184.716, 1180.5,   81.072,        14
 measure2,  lif-opt,  128, 1154.652, 1146.0,   78.735,         2
 measure2,  lif-opt,  160, 1173.692, 1161.0,   86.574,        11
 measure2,  lif-opt,  192, 1186.797, 1177.0,   88.714,        13
 measure2,  lif-opt,  224, 1191.562, 1185.0,   90.473,         8
 measure2,  lif-opt,  256,  1183.94, 1168.0,  136.399,         1
 measure2,  lif-opt,  288, 1208.668, 1188.0,  126.096,        25
 measure2,  lif-opt,  320, 1172.328, 1164.5,   86.511,         2
 measure2,  lif-opt,  352, 1150.156, 1147.0,   70.917,         7
 measure2,  lif-opt,  384, 1186.543, 1177.0,   95.553,        14
 measure2,  lif-opt,  416, 1211.434, 1206.0,   81.062,        13
 measure2,  lif-opt,  448,  1190.34, 1184.0,   87.408,        11
 measure2,  lif-opt,  480, 1172.664, 1164.0,   83.754,        11
 measure2,  lif-opt,  512, 1202.632, 1192.0,   96.965,        14
 measure2,  lif-opt,  544, 1201.514, 1195.0,   87.814,        13
 measure2,  lif-opt,  576, 1213.642, 1206.5,   90.825,        12
 measure2,  lif-opt,  608, 1193.757, 1187.0,   83.302,        10
 measure2,  lif-opt,  640, 1196.872, 1185.5,   92.911,        14
 measure2,  lif-opt,  672,  1158.58, 1150.0,   83.248,        12
 measure2,  lif-opt,  704,  1187.52, 1180.0,   88.192,         9
 measure2,  lif-opt,  736, 1175.236, 1159.0,   99.193,        23
 measure2,  lif-opt,  768, 1171.251, 1160.0,   79.164,         9
 measure2,  lif-opt,  800,   1176.8, 1170.0,   76.613,        10
 measure2,  lif-opt,  832, 1178.722, 1167.0,   95.287,         3
 measure2,  lif-opt,  864, 1183.004, 1172.0,   82.925,        14
 measure2,  lif-opt,  896, 1178.675, 1169.5,   82.041,         8
 measure2,  lif-opt,  928, 1199.753, 1193.0,   85.889,        11
 measure2,  lif-opt,  960, 1172.953, 1164.0,   74.264,         6
 measure2,  lif-opt,  992, 1220.797, 1209.0,   95.635,        10
 measure2,  lif-opt, 1024, 1191.542, 1185.0,   81.256,        13
 measure2,     meng,   32, 1180.483, 1172.0,   87.254,         7
 measure2,     meng,   64, 1186.013, 1178.5,    85.16,        10
 measure2,     meng,   96, 1161.075, 1154.0,   82.854,         3
 measure2,     meng,  128,  1157.05, 1149.0,   80.454,         8
 measure2,     meng,  160, 1164.521, 1158.0,   77.666,        15
 measure2,     meng,  192, 1179.342, 1170.0,   84.975,         7
 measure2,     meng,  224, 1152.451, 1142.0,   74.569,        10
 measure2,     meng,  256, 1180.329, 1169.5,   89.616,        12
 measure2,     meng,  288, 1182.978, 1173.0,   83.004,         9
 measure2,     meng,  320, 1174.553, 1166.0,   89.689,         8
 measure2,     meng,  352, 1201.822, 1194.0,   85.363,         8
 measure2,     meng,  384, 1204.572, 1193.5,   87.861,        12
 measure2,     meng,  416, 1190.897, 1180.0,   86.651,         9
 measure2,     meng,  448, 1229.176, 1223.0,   97.414,         8
 measure2,     meng,  480,  1182.74, 1175.0,   81.914,        10
 measure2,     meng,  512, 1156.323, 1147.0,   77.891,        14
 measure2,     meng,  544,  1186.65, 1179.0,   82.415,        11
 measure2,     meng,  576, 1196.574, 1187.0,   84.105,         7
 measure2,     meng,  608,  1187.18, 1180.5,     88.8,        12
 measure2,     meng,  640, 1157.497, 1159.0,   66.351,        15
 measure2,     meng,  672,  1206.97, 1200.0,   91.399,        12
 measure2,     meng,  704, 1192.534, 1183.0,   83.653,         5
 measure2,     meng,  736, 1194.622, 1186.0,    88.32,        11
 measure2,     meng,  768, 1176.364, 1171.0,    83.09,         9
 measure2,     meng,  800, 1198.081, 1193.0,   83.257,        12
 measure2,     meng,  832, 1177.375, 1173.0,   78.158,         8
 measure2,     meng,  864, 1176.302, 1169.0,    88.99,         1
 measure2,     meng,  896, 1189.845, 1182.0,    82.22,        18
 measure2,     meng,  928, 1172.984, 1172.0,   72.084,         9
 measure2,     meng,  960, 1197.008, 1189.0,   90.789,         8
 measure2,     meng,  992, 1198.656, 1189.0,   90.149,        13
 measure2,     meng, 1024, 1198.734, 1193.0,   82.659,         9
 measure2, meng-opt,   32, 1152.834, 1143.0,   89.138,         6
 measure2, meng-opt,   64, 1147.332, 1139.0,   87.162,         8
 measure2, meng-opt,   96, 1181.991, 1168.5,   88.987,         4
 measure2, meng-opt,  128, 1157.272, 1148.0,   86.376,        10
 measure2, meng-opt,  160, 1143.611, 1136.0,   80.612,        11
 measure2, meng-opt,  192, 1134.881, 1129.0,   77.299,        11
 measure2, meng-opt,  224, 1137.037, 1127.0,   77.609,         8
 measure2, meng-opt,  256, 1176.883, 1171.0,   84.904,        11
 measure2, meng-opt,  288, 1182.816, 1178.0,   79.801,        10
 measure2, meng-opt,  320, 1193.208, 1190.0,   88.062,        10
 measure2, meng-opt,  352, 1192.491, 1188.0,   81.102,        14
 measure2, meng-opt,  384, 1175.626, 1168.0,   86.474,         4
 measure2, meng-opt,  416, 1191.219, 1178.0,  103.939,         3
 measure2, meng-opt,  448, 1167.354, 1160.0,   88.088,         1
 measure2, meng-opt,  480,  1191.79, 1185.0,   79.042,        15
 measure2, meng-opt,  512,  1183.42, 1173.0,   89.924,         4
 measure2, meng-opt,  544, 1177.072, 1167.0,   89.386,         6
 measure2, meng-opt,  576, 1189.603, 1187.0,   81.156,         9
 measure2, meng-opt,  608, 1214.695, 1209.0,   97.791,        10
 measure2, meng-opt,  640, 1175.546, 1165.0,   88.448,         6
 measure2, meng-opt,  672, 1204.092, 1195.0,   96.551,        11
 measure2, meng-opt,  704, 1150.001, 1142.0,   82.865,         6
 measure2, meng-opt,  736, 1201.896, 1190.0,   93.528,         2
 measure2, meng-opt,  768,  1183.52, 1174.0,   86.123,         8
 measure2, meng-opt,  800, 1180.786, 1171.0,   89.556,         6
 measure2, meng-opt,  832, 1152.786, 1148.0,   81.138,         8
 measure2, meng-opt,  864, 1180.097, 1176.0,   80.279,         7
 measure2, meng-opt,  896, 1192.028, 1180.0,   95.378,         5
 measure2, meng-opt,  928, 1194.035, 1182.0,   95.881,        24
 measure2, meng-opt,  960, 1165.902, 1161.0,   84.525,         9
 measure2, meng-opt,  992, 1180.408, 1175.0,   84.373,         3
 measure2, meng-opt, 1024, 1149.333, 1150.5,   68.563,        10
