Src,Type,N,#LLVM-IR Instructions
measure1,orig,32,281
measure1,orig,64,473
measure1,orig,96,665
measure1,orig,128,857
measure1,orig,160,1049
measure1,orig,192,1241
measure1,orig,224,1433
measure1,orig,256,1625
measure1,orig,288,1817
measure1,orig,320,2009
measure1,orig,352,2201
measure1,orig,384,2393
measure1,orig,416,2585
measure1,orig,448,2777
measure1,orig,480,2969
measure1,orig,512,3161
measure1,orig,544,3353
measure1,orig,576,3545
measure1,orig,608,3737
measure1,orig,640,3929
measure1,orig,672,4121
measure1,orig,704,4313
measure1,orig,736,4505
measure1,orig,768,4697
measure1,orig,800,4889
measure1,orig,832,5081
measure1,orig,864,5273
measure1,orig,896,5465
measure1,orig,928,5657
measure1,orig,960,5849
measure1,orig,992,6041
measure1,orig,1024,6233
measure1,orig-opt,32,232
measure1,orig-opt,64,424
measure1,orig-opt,96,616
measure1,orig-opt,128,808
measure1,orig-opt,160,1000
measure1,orig-opt,192,1192
measure1,orig-opt,224,1384
measure1,orig-opt,256,1576
measure1,orig-opt,288,1768
measure1,orig-opt,320,1960
measure1,orig-opt,352,2152
measure1,orig-opt,384,2344
measure1,orig-opt,416,2536
measure1,orig-opt,448,2728
measure1,orig-opt,480,2920
measure1,orig-opt,512,3112
measure1,orig-opt,544,3304
measure1,orig-opt,576,3496
measure1,orig-opt,608,3688
measure1,orig-opt,640,3880
measure1,orig-opt,672,4072
measure1,orig-opt,704,4264
measure1,orig-opt,736,4456
measure1,orig-opt,768,4648
measure1,orig-opt,800,4840
measure1,orig-opt,832,5032
measure1,orig-opt,864,5224
measure1,orig-opt,896,5416
measure1,orig-opt,928,5608
measure1,orig-opt,960,5800
measure1,orig-opt,992,5992
measure1,orig-opt,1024,6184
measure1,lif,32,819
measure1,lif,64,1555
measure1,lif,96,2291
measure1,lif,128,3027
measure1,lif,160,3763
measure1,lif,192,4499
measure1,lif,224,5235
measure1,lif,256,5971
measure1,lif,288,6707
measure1,lif,320,7443
measure1,lif,352,8179
measure1,lif,384,8915
measure1,lif,416,9651
measure1,lif,448,10387
measure1,lif,480,11123
measure1,lif,512,11859
measure1,lif,544,12595
measure1,lif,576,13331
measure1,lif,608,14067
measure1,lif,640,14803
measure1,lif,672,15539
measure1,lif,704,16275
measure1,lif,736,17011
measure1,lif,768,17747
measure1,lif,800,18483
measure1,lif,832,19219
measure1,lif,864,19955
measure1,lif,896,20691
measure1,lif,928,21427
measure1,lif,960,22163
measure1,lif,992,22899
measure1,lif,1024,23635
measure1,lif-opt,32,512
measure1,lif-opt,64,992
measure1,lif-opt,96,1472
measure1,lif-opt,128,1952
measure1,lif-opt,160,2432
measure1,lif-opt,192,2912
measure1,lif-opt,224,3392
measure1,lif-opt,256,3872
measure1,lif-opt,288,4352
measure1,lif-opt,320,4832
measure1,lif-opt,352,5312
measure1,lif-opt,384,5792
measure1,lif-opt,416,6272
measure1,lif-opt,448,6752
measure1,lif-opt,480,7232
measure1,lif-opt,512,7712
measure1,lif-opt,544,8192
measure1,lif-opt,576,8672
measure1,lif-opt,608,9152
measure1,lif-opt,640,9632
measure1,lif-opt,672,10112
measure1,lif-opt,704,10592
measure1,lif-opt,736,11072
measure1,lif-opt,768,11552
measure1,lif-opt,800,12032
measure1,lif-opt,832,12512
measure1,lif-opt,864,12992
measure1,lif-opt,896,13472
measure1,lif-opt,928,13952
measure1,lif-opt,960,14432
measure1,lif-opt,992,14912
measure1,lif-opt,1024,15392
measure1,meng,32,281
measure1,meng,64,473
measure1,meng,96,665
measure1,meng,128,857
measure1,meng,160,1049
measure1,meng,192,1241
measure1,meng,224,1433
measure1,meng,256,1625
measure1,meng,288,1817
measure1,meng,320,2009
measure1,meng,352,2201
measure1,meng,384,2393
measure1,meng,416,2585
measure1,meng,448,2777
measure1,meng,480,2969
measure1,meng,512,3161
measure1,meng,544,3353
measure1,meng,576,3545
measure1,meng,608,3737
measure1,meng,640,3929
measure1,meng,672,4121
measure1,meng,704,4313
measure1,meng,736,4505
measure1,meng,768,4697
measure1,meng,800,4889
measure1,meng,832,5081
measure1,meng,864,5273
measure1,meng,896,5465
measure1,meng,928,5657
measure1,meng,960,5849
measure1,meng,992,6041
measure1,meng,1024,6233
measure1,meng-opt,32,47
measure1,meng-opt,64,47
measure1,meng-opt,96,47
measure1,meng-opt,128,47
measure1,meng-opt,160,47
measure1,meng-opt,192,47
measure1,meng-opt,224,47
measure1,meng-opt,256,47
measure1,meng-opt,288,47
measure1,meng-opt,320,47
measure1,meng-opt,352,47
measure1,meng-opt,384,47
measure1,meng-opt,416,47
measure1,meng-opt,448,47
measure1,meng-opt,480,47
measure1,meng-opt,512,47
measure1,meng-opt,544,47
measure1,meng-opt,576,47
measure1,meng-opt,608,47
measure1,meng-opt,640,47
measure1,meng-opt,672,47
measure1,meng-opt,704,47
measure1,meng-opt,736,47
measure1,meng-opt,768,47
measure1,meng-opt,800,47
measure1,meng-opt,832,47
measure1,meng-opt,864,47
measure1,meng-opt,896,47
measure1,meng-opt,928,47
measure1,meng-opt,960,47
measure1,meng-opt,992,47
measure1,meng-opt,1024,47
measure2,orig,32,283
measure2,orig,64,475
measure2,orig,96,667
measure2,orig,128,859
measure2,orig,160,1051
measure2,orig,192,1243
measure2,orig,224,1435
measure2,orig,256,1627
measure2,orig,288,1819
measure2,orig,320,2011
measure2,orig,352,2203
measure2,orig,384,2395
measure2,orig,416,2587
measure2,orig,448,2779
measure2,orig,480,2971
measure2,orig,512,3163
measure2,orig,544,3355
measure2,orig,576,3547
measure2,orig,608,3739
measure2,orig,640,3931
measure2,orig,672,4123
measure2,orig,704,4315
measure2,orig,736,4507
measure2,orig,768,4699
measure2,orig,800,4891
measure2,orig,832,5083
measure2,orig,864,5275
measure2,orig,896,5467
measure2,orig,928,5659
measure2,orig,960,5851
measure2,orig,992,6043
measure2,orig,1024,6235
measure2,orig-opt,32,235
measure2,orig-opt,64,427
measure2,orig-opt,96,619
measure2,orig-opt,128,811
measure2,orig-opt,160,1003
measure2,orig-opt,192,1195
measure2,orig-opt,224,1387
measure2,orig-opt,256,1579
measure2,orig-opt,288,1771
measure2,orig-opt,320,1963
measure2,orig-opt,352,2155
measure2,orig-opt,384,2347
measure2,orig-opt,416,2539
measure2,orig-opt,448,2731
measure2,orig-opt,480,2923
measure2,orig-opt,512,3115
measure2,orig-opt,544,3307
measure2,orig-opt,576,3499
measure2,orig-opt,608,3691
measure2,orig-opt,640,3883
measure2,orig-opt,672,4075
measure2,orig-opt,704,4267
measure2,orig-opt,736,4459
measure2,orig-opt,768,4651
measure2,orig-opt,800,4843
measure2,orig-opt,832,5035
measure2,orig-opt,864,5227
measure2,orig-opt,896,5419
measure2,orig-opt,928,5611
measure2,orig-opt,960,5803
measure2,orig-opt,992,5995
measure2,orig-opt,1024,6187
measure2,lif,32,821
measure2,lif,64,1557
measure2,lif,96,2293
measure2,lif,128,3029
measure2,lif,160,3765
measure2,lif,192,4501
measure2,lif,224,5237
measure2,lif,256,5973
measure2,lif,288,6709
measure2,lif,320,7445
measure2,lif,352,8181
measure2,lif,384,8917
measure2,lif,416,9653
measure2,lif,448,10389
measure2,lif,480,11125
measure2,lif,512,11861
measure2,lif,544,12597
measure2,lif,576,13333
measure2,lif,608,14069
measure2,lif,640,14805
measure2,lif,672,15541
measure2,lif,704,16277
measure2,lif,736,17013
measure2,lif,768,17749
measure2,lif,800,18485
measure2,lif,832,19221
measure2,lif,864,19957
measure2,lif,896,20693
measure2,lif,928,21429
measure2,lif,960,22165
measure2,lif,992,22901
measure2,lif,1024,23637
measure2,lif-opt,32,515
measure2,lif-opt,64,995
measure2,lif-opt,96,1475
measure2,lif-opt,128,1955
measure2,lif-opt,160,2435
measure2,lif-opt,192,2915
measure2,lif-opt,224,3395
measure2,lif-opt,256,3875
measure2,lif-opt,288,4355
measure2,lif-opt,320,4835
measure2,lif-opt,352,5315
measure2,lif-opt,384,5795
measure2,lif-opt,416,6275
measure2,lif-opt,448,6755
measure2,lif-opt,480,7235
measure2,lif-opt,512,7715
measure2,lif-opt,544,8195
measure2,lif-opt,576,8675
measure2,lif-opt,608,9155
measure2,lif-opt,640,9635
measure2,lif-opt,672,10115
measure2,lif-opt,704,10595
measure2,lif-opt,736,11075
measure2,lif-opt,768,11555
measure2,lif-opt,800,12035
measure2,lif-opt,832,12515
measure2,lif-opt,864,12995
measure2,lif-opt,896,13475
measure2,lif-opt,928,13955
measure2,lif-opt,960,14435
measure2,lif-opt,992,14915
measure2,lif-opt,1024,15395
measure2,meng,32,283
measure2,meng,64,475
measure2,meng,96,667
measure2,meng,128,859
measure2,meng,160,1051
measure2,meng,192,1243
measure2,meng,224,1435
measure2,meng,256,1627
measure2,meng,288,1819
measure2,meng,320,2011
measure2,meng,352,2203
measure2,meng,384,2395
measure2,meng,416,2587
measure2,meng,448,2779
measure2,meng,480,2971
measure2,meng,512,3163
measure2,meng,544,3355
measure2,meng,576,3547
measure2,meng,608,3739
measure2,meng,640,3931
measure2,meng,672,4123
measure2,meng,704,4315
measure2,meng,736,4507
measure2,meng,768,4699
measure2,meng,800,4891
measure2,meng,832,5083
measure2,meng,864,5275
measure2,meng,896,5467
measure2,meng,928,5659
measure2,meng,960,5851
measure2,meng,992,6043
measure2,meng,1024,6235
measure2,meng-opt,32,50
measure2,meng-opt,64,50
measure2,meng-opt,96,50
measure2,meng-opt,128,50
measure2,meng-opt,160,50
measure2,meng-opt,192,50
measure2,meng-opt,224,50
measure2,meng-opt,256,50
measure2,meng-opt,288,50
measure2,meng-opt,320,50
measure2,meng-opt,352,50
measure2,meng-opt,384,50
measure2,meng-opt,416,50
measure2,meng-opt,448,50
measure2,meng-opt,480,50
measure2,meng-opt,512,50
measure2,meng-opt,544,50
measure2,meng-opt,576,50
measure2,meng-opt,608,50
measure2,meng-opt,640,50
measure2,meng-opt,672,50
measure2,meng-opt,704,50
measure2,meng-opt,736,50
measure2,meng-opt,768,50
measure2,meng-opt,800,50
measure2,meng-opt,832,50
measure2,meng-opt,864,50
measure2,meng-opt,896,50
measure2,meng-opt,928,50
measure2,meng-opt,960,50
measure2,meng-opt,992,50
measure2,meng-opt,1024,50
